pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
100,533e8d78e99ac80489b17a78c0a67dab27d68f9d,9f3fc1f3b19b0c0079ff51021663f469c12c47f4,"This PR contains some fixes needed to handle files with special characters correctly (#92):

- escape special characters file names in ""flow coverage"" commands (with the same regular expression used in the `flow-annotation-checks` dependency to fix the same issue).
- update flow-annotation-checks dependencies (which contains the fix for the ""extract flow annotation"" phase).
- added an additional integration test that execute `flow-coverage-report` on a fake project with special characters in the file names.

Thanks to @ryan953 for tracking down the issue and for fixing for it. ","fix: Escaped special chars in filenames (#92)
","diff --git a/__tests__/integrations/cli/test-file-special-chars-escape.js b/__tests__/integrations/cli/test-file-special-chars-escape.js
new file mode 100644
index 0000000..4b7649e
--- /dev/null
+++ b/__tests__/integrations/cli/test-file-special-chars-escape.js
@@ -0,0 +1,24 @@
+'use babel';
+
+import path from 'path';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+
+const testProjectDir = path.join(FIXTURE_PATH, 'file-special-chars-escape');
+
+jasmine.DEFAULT_TIMEOUT_INTERVAL = 10000; // 10 second timeout
+
+test('Fixed #92 - Escape special chars in filenames', async () => {
+  const {stdout, stderr} = await runFlowCoverageReport([
+    '-i', `""src/*.js""`
+  ], {cwd: testProjectDir});
+
+  const filteredStdout = stdout.split('\n').filter(
+    line => line.indexOf('src/file-with-a') >= 0
+  );
+
+  expect({filteredStdout, stderr}).toMatchSnapshot();
+});
",0,,9,76,1,4,13,92
140,ece3c494e095ad66b2342e734a5017344f674732,ece3c494e095ad66b2342e734a5017344f674732,"This PR includes the changes from #130 (contributed by @runarberg) and applied some additional changes (to fix some issues related to the usage of the svgo dependency, tweak the badge generation and add a new integration test for the feature).","test: Added new integration test for the badge reporter
","diff --git a/__tests__/integrations/cli/test-badge-reporter.js b/__tests__/integrations/cli/test-badge-reporter.js
new file mode 100644
index 0000000..e842c47
--- /dev/null
+++ b/__tests__/integrations/cli/test-badge-reporter.js
@@ -0,0 +1,62 @@
+'use babel';
+
+import path from 'path';
+
+import rimraf from 'rimraf';
+import tempy from 'tempy';
+import svgson from 'svgson';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+import {readFile} from '../../../src/lib/promisified';
+
+const testLowCoverageDir = path.join(FIXTURE_PATH, 'project-low-coverage-with-error');
+const testFullCoverageDir = path.join(FIXTURE_PATH, 'project-full-coverage');
+
+function svg2json(filePath) {
+  return new Promise(async resolve => {
+    const svgData = await readFile(filePath);
+    svgson(svgData.toString(), {}, resolve);
+  });
+}
+
+describe('badge reporter', () => {
+  it('should generate red badges on project-low-coverage-with-error', async () => {
+    const tmpDir = tempy.directory();
+
+    const {exitCode} = await runFlowCoverageReport([
+      '-i', `""src/*.js""`, '-t', 'badge', '-o', tmpDir
+    ], {cwd: testLowCoverageDir});
+
+    // Expect flow-coverage-report to exit with 2 on low coverage.
+    expect(exitCode).toBe(2);
+
+    const flowBadge = await svg2json(path.join(tmpDir, 'flow-badge.svg'));
+    const flowCoverageBadge = await svg2json(path.join(tmpDir, 'flow-coverage-badge.svg'));
+
+    expect(flowBadge).toMatchSnapshot('flow-badge red');
+    expect(flowCoverageBadge).toMatchSnapshot('flow-coverage-badge red');
+
+    await new Promise(resolve => rimraf(path.join(tmpDir, '*.svg'), resolve));
+  });
+
+  it('should generate green badges on full covered project', async () => {
+    const tmpDir = tempy.directory();
+
+    const {exitCode} = await runFlowCoverageReport([
+      '-i', `""src/*.js""`, '-t', 'badge', '-o', tmpDir
+    ], {cwd: testFullCoverageDir});
+
+    expect(exitCode).toBe(0);
+
+    const flowBadge = await svg2json(path.join(tmpDir, 'flow-badge.svg'));
+    const flowCoverageBadge = await svg2json(path.join(tmpDir, 'flow-coverage-badge.svg'));
+
+    expect(flowBadge).toMatchSnapshot('flow-badge green');
+    expect(flowCoverageBadge).toMatchSnapshot('flow-coverage-badge green');
+
+    await new Promise(resolve => rimraf(path.join(tmpDir, '*.svg'), resolve));
+  });
+});
",0,,8,685,1,7,13,1037
155,2b2d85fdb29f54f1dd459417cbb8cca019000bbc,efbea06898ec91307628f14153fac1b3228da6e4,"This PR contains the changes from #150 rebased on top of the current master tip, with some small refactorings (as agreed in https://github.com/rpl/flow-coverage-report/pull/150#discussion_r190037717) and some additions and tweaks to the tests (and updates on the related jest snapshots). 

TODO:
- [x] fix regression with renamed config option names (keep backward compatibility and log a working before releasing this change)","fix: Added support for the new flow annotations (strict and strict-local)
","diff --git a/__tests__/integrations/cli/test-flow-strict.js b/__tests__/integrations/cli/test-flow-strict.js
new file mode 100644
index 0000000..ddfc3fb
--- /dev/null
+++ b/__tests__/integrations/cli/test-flow-strict.js
@@ -0,0 +1,23 @@
+'use babel';
+
+import path from 'path';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+
+const testProjectDir = path.join(FIXTURE_PATH, 'flow-strict');
+
+jasmine.DEFAULT_TIMEOUT_INTERVAL = 10000; // 10 second timeout
+
+test('Accept \'@flow strict\' and \'@flow strict-local\' pragmas', async () => {
+  const {stdout, stderr} = await runFlowCoverageReport([
+    '-i', `""src/*.js""`
+  ], {cwd: testProjectDir});
+
+  const filteredStdoutMain = stdout.split('\n').filter(line => line.indexOf('src/main') >= 0);
+  const filteredStdoutLocal = stdout.split('\n').filter(line => line.indexOf('src/local') >= 0);
+
+  expect({filteredStdoutMain, filteredStdoutLocal, stderr}).toMatchSnapshot();
+});
",0,,13,266,4,5,22,466
161,079e46f49f0cb260be9ee825a16987b53437869e,d02dec33506a980deb63d3cea65921636edd77f3,"This PR includes the changes proposed in #157 and adds an additional --percent-decimals cli option (which can also be set in a config file as percentDecimals) to optionally include decimals numbers in the computed percent values, and some additional unit and integration tests. 

Fix #148 feature request.","feat: Added --percent-decimals cli options
","diff --git a/__tests__/integrations/cli/test-percent-decimals.js b/__tests__/integrations/cli/test-percent-decimals.js
new file mode 100644
index 0000000..0729edd
--- /dev/null
+++ b/__tests__/integrations/cli/test-percent-decimals.js
@@ -0,0 +1,24 @@
+'use babel';
+
+import path from 'path';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+
+const testProjectDir = path.join(FIXTURE_PATH, 'project-decimal-coverage');
+
+describe('--percent-decimals option', () => {
+  it('should round percent values using the requested precision', async () => {
+    const {exitCode, error, stderr, stdout} = await runFlowCoverageReport([
+      '--percent-decimals', '2',
+      '-i', '""src/**.js""'
+    ], {cwd: testProjectDir});
+
+    const filteredStdout = stdout.split('\n').filter(
+      line => line.indexOf('src/main.js') >= 0 || line.indexOf('project-decimal-coverage') >= 0);
+
+    expect({exitCode, error, stderr, filteredStdout}).toMatchSnapshot();
+  });
+});
",0,,8,134,1,3,8,157
195,6730e21dbfb3352e929b839407d653e2dcbe81bd,4682f1345f3cb509c94cb81facc23c6da11d108b,,"chore: Updated svgson dev dependency to v4.0.0
","diff --git a/__tests__/integrations/cli/test-badge-reporter.js b/__tests__/integrations/cli/test-badge-reporter.js
index e842c47..baae796 100644
--- a/__tests__/integrations/cli/test-badge-reporter.js
+++ b/__tests__/integrations/cli/test-badge-reporter.js
@@ -4,7 +4,7 @@ import path from 'path';
 
 import rimraf from 'rimraf';
 import tempy from 'tempy';
-import svgson from 'svgson';
+import * as svgson from 'svgson';
 
 import {
   FIXTURE_PATH,
@@ -15,11 +15,9 @@ import {readFile} from '../../../src/lib/promisified';
 const testLowCoverageDir = path.join(FIXTURE_PATH, 'project-low-coverage-with-error');
 const testFullCoverageDir = path.join(FIXTURE_PATH, 'project-full-coverage');
 
-function svg2json(filePath) {
-  return new Promise(async resolve => {
-    const svgData = await readFile(filePath);
-    svgson(svgData.toString(), {}, resolve);
-  });
+async function svg2json(filePath) {
+  const svgData = await readFile(filePath);
+  return svgson.parse(svgData.toString(), {camelcase: true});
 }
 
 describe('badge reporter', () => {
",0,,3,444,1,4,14,550
197,a5af566d6d2e24f6f47fbb225327530982da3707,a5af566d6d2e24f6f47fbb225327530982da3707,"Some dependencies have security problems so I updated all of the production ones (the ones that are important for projects using the lib). 

Because the project uses an old Flow version I had to hack a bit around the flow libdefs, but that should be OK. The dependencies don't have a lot of changes, so keeping the old libdefs was easy. Only for yargs I got it from flow-typed' previous version.

Because there was an issue with eslint in travis I also went ahead and upgraded both babel and eslint. And then fixed all new eslint violations. So this makes a big patch! but with quite independent commits. I hope that will be ok :-)

Next step could be to upgrade jest, that shouldn't be too painful, and then maybe you can add depfu.com (my favorite dependency upgrader) on this repository so that it's handled some more automatically and progressively in the future.

I checked with our project and this runs and gives the same result as before the change (both text and html) in about the same time.

One test seems flaky but it seemed flaky on master too (the one about the badge)... It looks like it passes on Travis though.","Fix remaining lint issues manually
","diff --git a/src/__tests__/react-components/test-body-coverage-sourcefile.js b/src/__tests__/react-components/test-body-coverage-sourcefile.js
index d86cab8..2ac0447 100644
--- a/src/__tests__/react-components/test-body-coverage-sourcefile.js
+++ b/src/__tests__/react-components/test-body-coverage-sourcefile.js
@@ -1,7 +1,5 @@
 'use babel';
 
-/* eslint-disable react/jsx-filename-extension, import/no-dynamic-require */
-
 import React from 'react';
 import renderer from 'react-test-renderer';
 

diff --git a/src/__tests__/react-components/test-body-coverage-summary.js b/src/__tests__/react-components/test-body-coverage-summary.js
index 766a65d..4276229 100644
--- a/src/__tests__/react-components/test-body-coverage-summary.js
+++ b/src/__tests__/react-components/test-body-coverage-summary.js
@@ -1,7 +1,5 @@
 'use babel';
 
-/* eslint-disable react/jsx-filename-extension, import/no-dynamic-require */
-
 import React from 'react';
 import renderer from 'react-test-renderer';
 

diff --git a/src/__tests__/react-components/test-footer.js b/src/__tests__/react-components/test-footer.js
index 40ef299..28b4ff1 100644
--- a/src/__tests__/react-components/test-footer.js
+++ b/src/__tests__/react-components/test-footer.js
@@ -1,7 +1,5 @@
 'use babel';
 
-/* eslint-disable react/jsx-filename-extension, import/no-dynamic-require */
-
 import React from 'react';
 import renderer from 'react-test-renderer';
 

diff --git a/src/__tests__/react-components/test-html-report-page.js b/src/__tests__/react-components/test-html-report-page.js
index fbf0564..c3a26af 100644
--- a/src/__tests__/react-components/test-html-report-page.js
+++ b/src/__tests__/react-components/test-html-report-page.js
@@ -1,7 +1,5 @@
 'use babel';
 
-/* eslint-disable react/jsx-filename-extension, import/no-dynamic-require */
-
 import React from 'react';
 import renderer from 'react-test-renderer';
 
",0,,43,701,4,7,54,1543
60,2089a34820e0606fcfb20ddbd7093320691b01d5,ee8658122a70a6b090f9a3e0559493bc4922a617,"This PR adds an integration test suite (based on jest as the test units).
This tests are going to execute the final built file instead of testing the single modules, and they do not use any mock.","test: Added cli integration tests.
","diff --git a/__tests__/integrations/cli/test-exit-value.js b/__tests__/integrations/cli/test-exit-value.js
new file mode 100644
index 0000000..4453bf1
--- /dev/null
+++ b/__tests__/integrations/cli/test-exit-value.js
@@ -0,0 +1,38 @@
+'use babel';
+
+import path from 'path';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+
+const testProjectDir = path.join(FIXTURE_PATH, 'project-low-coverage');
+
+describe('CLI exit value', async () => {
+  it('should exit with code 2 when total coverage is lower than the default threshold', async () => {
+    const {exitCode, error} = await runFlowCoverageReport([
+      '-i', `""src/*.js""`
+    ], {cwd: testProjectDir});
+
+    expect({exitCode, error}).toMatchSnapshot();
+  });
+
+  it('should exit with code 2 when total coverage is lower than the custom threshold', async () => {
+    const {exitCode, error} = await runFlowCoverageReport([
+      '-i', `""src/*.js""`,
+      '--threshold', '22'
+    ], {cwd: testProjectDir});
+
+    expect({exitCode, error}).toMatchSnapshot();
+  });
+
+  it('should exit with code 0 when total coverage is higher than the custom threshold', async () => {
+    const {exitCode, error} = await runFlowCoverageReport([
+      '-i', `""src/*.js""`,
+      '--threshold', '10'
+    ], {cwd: testProjectDir});
+
+    expect({exitCode, error}).toMatchSnapshot();
+  });
+});
",0,,5,126,1,3,5,128
61,aeab1f763d6dd7007ed5b640d89ef0c5fea1aa4f,8523a485816fea6b0f67cff3b652bce7b9fe1f80,This PR contains fixes and new tests related to #57,"fix: Fixed total percent 0 rendered as NaN in report text
","diff --git a/__tests__/integrations/cli/test-regression-issue-57.js b/__tests__/integrations/cli/test-regression-issue-57.js
new file mode 100644
index 0000000..0e83c29
--- /dev/null
+++ b/__tests__/integrations/cli/test-regression-issue-57.js
@@ -0,0 +1,22 @@
+'use babel';
+
+import path from 'path';
+
+import {
+  FIXTURE_PATH,
+  runFlowCoverageReport
+} from '../../common';
+
+const testProjectDir = path.join(FIXTURE_PATH, 'issue-57');
+
+jasmine.DEFAULT_TIMEOUT_INTERVAL = 10000; // 10 second timeout
+
+test('Fixed #57 - NaN in text report', async () => {
+  const {stdout} = await runFlowCoverageReport([
+    '-i', `""src/*.js""`
+  ], {cwd: testProjectDir});
+
+  const filteredStdout = stdout.split('\n').filter(line => line.indexOf('src/url.js') >= 0);
+
+  expect({filteredStdout}).toMatchSnapshot();
+});
",0,,4,40,1,3,7,54
65,e89a34d65ad9d12b1c1de8f78c5bf2a2f894f0f4,ba09eb793531d634936dbc2fe99bda4f02d17970,"`summaryReportContent()` and `sourceReportContent()` implicitly know what `reportType` to use. So I removed the `reportType: opt.type` field from their props and let `html-report-page.jsx` export two components.

This unlocks the ability to specify specific flowtypes for Summary and SourceFile report pages, which we now also have. Should increase coverage, remove optional/unused fields and prevent that `threshold` issue from happening again.","Split the flow type for the two HTMLReport*Page components

The pages take slightly different info, while the header/footer is consistent. This splits up the types so we can refine them better.
","diff --git a/src/__tests__/react-components/test-html-report-page.js b/src/__tests__/react-components/test-html-report-page.js
index 92f87fb..4c3fe82 100644
--- a/src/__tests__/react-components/test-html-report-page.js
+++ b/src/__tests__/react-components/test-html-report-page.js
@@ -11,14 +11,13 @@ import {BASE_DIR} from './common';
 
 const REACT_COMPONENT = `${BASE_DIR}/html-report-page`;
 
-test('<HTMLReportPage reportType=""summary""/>', () => {
-  const HTMLReportPage = require(REACT_COMPONENT).default;
+test('<HTMLReportSummaryPage/>', () => {
+  const HTMLReportSummaryPage = require(REACT_COMPONENT).HTMLReportSummaryPage;
   const props = {
-    reportType: 'summary',
     coverageSummaryData: {...FLOW_COVERAGE_SUMMARY_DATA, threshold: 40}
   };
-  const tree = renderer.create(<HTMLReportPage {...props}/>).toJSON();
+  const tree = renderer.create(<HTMLReportSummaryPage {...props}/>).toJSON();
   expect(tree).toMatchSnapshot();
 });
 
-test.skip('<HTMLReportPage reportType=""sourcefile""/>');
+test.skip('<HTMLReportSourceFilePage/>');
",0,,11,125,1,3,11,178
