pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
101,9d9da6407533aa4fd756526f18c7ff9811c752ce,9d9da6407533aa4fd756526f18c7ff9811c752ce,"This PR adds a bunch of complex changes. Most of them are related to the upgraded dependencies (react, babel, webpack, enzyme).

Updated positions:
- dependencies,
- tests,
- issues requested by eslint,
- URLs.
","#96 - Bunch of changes with upgraded packages, components, configuration etc.
","diff --git a/src/components/adeleInfo/tests/adele-info.test.jsx b/src/components/adeleInfo/tests/adele-info.test.jsx
index 9a4d98e..38d4f2a 100644
--- a/src/components/adeleInfo/tests/adele-info.test.jsx
+++ b/src/components/adeleInfo/tests/adele-info.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/arrowButton/tests/arrow-button.test.jsx b/src/components/arrowButton/tests/arrow-button.test.jsx
index 4e30e48..6952148 100644
--- a/src/components/arrowButton/tests/arrow-button.test.jsx
+++ b/src/components/arrowButton/tests/arrow-button.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx b/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
index 9f2408f..0c05a6a 100644
--- a/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
+++ b/src/components/arrowButtonGroup/tests/arrow-button-group.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/button/tests/button.test.jsx b/src/components/button/tests/button.test.jsx
index aef5077..39a9a27 100644
--- a/src/components/button/tests/button.test.jsx
+++ b/src/components/button/tests/button.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/filterTag/Tests/filter-tag.test.jsx b/src/components/filterTag/Tests/filter-tag.test.jsx
index b7e2d13..51f2b48 100644
--- a/src/components/filterTag/Tests/filter-tag.test.jsx
+++ b/src/components/filterTag/Tests/filter-tag.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/filterTagSection/tests/filter-tag-section.test.jsx b/src/components/filterTagSection/tests/filter-tag-section.test.jsx
index acf37e1..1bdd48a 100644
--- a/src/components/filterTagSection/tests/filter-tag-section.test.jsx
+++ b/src/components/filterTagSection/tests/filter-tag-section.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/heading/tests/heading.test.jsx b/src/components/heading/tests/heading.test.jsx
index 65000df..f0693e6 100644
--- a/src/components/heading/tests/heading.test.jsx
+++ b/src/components/heading/tests/heading.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/icon/tests/icon.test.jsx b/src/components/icon/tests/icon.test.jsx
index 58a53ce..2b0a474 100644
--- a/src/components/icon/tests/icon.test.jsx
+++ b/src/components/icon/tests/icon.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/social/tests/social.test.jsx b/src/components/social/tests/social.test.jsx
index 44bd88d..0f7b48c 100644
--- a/src/components/social/tests/social.test.jsx
+++ b/src/components/social/tests/social.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/sorting/tests/sorting.test.jsx b/src/components/sorting/tests/sorting.test.jsx
index 122cca7..0d183cd 100644
--- a/src/components/sorting/tests/sorting.test.jsx
+++ b/src/components/sorting/tests/sorting.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/tableControls/tests/table-controls.test.jsx b/src/components/tableControls/tests/table-controls.test.jsx
index 7438466..f98bf7c 100644
--- a/src/components/tableControls/tests/table-controls.test.jsx
+++ b/src/components/tableControls/tests/table-controls.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/topBar/tests/top-bar.test.jsx b/src/components/topBar/tests/top-bar.test.jsx
index 2daba74..15a629f 100644
--- a/src/components/topBar/tests/top-bar.test.jsx
+++ b/src/components/topBar/tests/top-bar.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/components/uxpinPromo/tests/uxpin-promo.test.jsx b/src/components/uxpinPromo/tests/uxpin-promo.test.jsx
index b36225b..74c79c6 100644
--- a/src/components/uxpinPromo/tests/uxpin-promo.test.jsx
+++ b/src/components/uxpinPromo/tests/uxpin-promo.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 import UXPinPromo from '../uxpin-promo';

diff --git a/src/containers/headerContainer/tests/header-container.test.jsx b/src/containers/headerContainer/tests/header-container.test.jsx
index 3da08f3..29d81b3 100644
--- a/src/containers/headerContainer/tests/header-container.test.jsx
+++ b/src/containers/headerContainer/tests/header-container.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 

diff --git a/src/containers/infoContainer/tests/info-container.test.jsx b/src/containers/infoContainer/tests/info-container.test.jsx
index 105b54c..b7e19cc 100644
--- a/src/containers/infoContainer/tests/info-container.test.jsx
+++ b/src/containers/infoContainer/tests/info-container.test.jsx
@@ -1,3 +1,4 @@
+import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
 
",0,,77,28620,15,1,77,28620
104,56bf3ddd31498d6a41ce54f44b726ed438da4c0e,56bf3ddd31498d6a41ce54f44b726ed438da4c0e,"As it's described in #97 we want to add dedicated subpages for each DS - this PR adds routing, subpages for DSs and changes the way data is retrieving/manipulating by the app.","#97 - updates tests specs
","diff --git a/src/components/logo/tests/logo.test.jsx b/src/components/logo/tests/logo.test.jsx
index 690d3dc..806891c 100644
--- a/src/components/logo/tests/logo.test.jsx
+++ b/src/components/logo/tests/logo.test.jsx
@@ -1,10 +1,11 @@
 import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
+import { BrowserRouter } from 'react-router-dom';
 
 import Logo from '../logo';
 
 it('renders Logo correctly', () => {
-  const wrapper = mount(<Logo />);
+  const wrapper = mount(<BrowserRouter><Logo /></BrowserRouter>);
   expect(wrapper).toMatchSnapshot();
 });

diff --git a/src/components/topBar/tests/top-bar.test.jsx b/src/components/topBar/tests/top-bar.test.jsx
index 15a629f..1b138e7 100644
--- a/src/components/topBar/tests/top-bar.test.jsx
+++ b/src/components/topBar/tests/top-bar.test.jsx
@@ -1,15 +1,16 @@
 import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
+import { BrowserRouter } from 'react-router-dom';
 
 import TopBar from '../top-bar';
 
 it('renders TopBar with scroll inactive correctly', () => {
-  const wrapper = mount(<TopBar scroll={false} />);
+  const wrapper = mount(<BrowserRouter><TopBar scroll={false} /></BrowserRouter>);
   expect(wrapper).toMatchSnapshot();
 });
 
 it('renders TopBar with scroll active correctly', () => {
-  const wrapper = mount(<TopBar scroll />);
+  const wrapper = mount(<BrowserRouter><TopBar scroll /></BrowserRouter>);
   expect(wrapper).toMatchSnapshot();
 });

diff --git a/src/containers/headerContainer/tests/header-container.test.jsx b/src/containers/headerContainer/tests/header-container.test.jsx
index 29d81b3..b070c89 100644
--- a/src/containers/headerContainer/tests/header-container.test.jsx
+++ b/src/containers/headerContainer/tests/header-container.test.jsx
@@ -1,10 +1,11 @@
 import { mount } from 'enzyme';
 import React from 'react';
 import 'jest-styled-components';
+import { BrowserRouter } from 'react-router-dom';
 
 import HeaderContainer from '../header-container';
 
 it('renders HeaderContainer correctly', () => {
-  const wrapper = mount(<HeaderContainer scroll={true} />);
+  const wrapper = mount(<BrowserRouter><HeaderContainer scroll /></BrowserRouter>);
   expect(wrapper).toMatchSnapshot();
 });
",0,,7,2078,4,7,24,3003
107,9c207273afcd43ba18ffb4781c80873b821b1a74,b46be97e4ff2a64ed0c061f68e4e5f4c99b67a80,"As mentioned in #95, we wouldn't like to remove deprecated design systems. We prefer to add deprecation label/infobox instead of removing them.

Additionally, this PR adds scroll-to-top strategy if routing change.","#95 - Adds label and infobox for deprecated DSs. Adds scroll-to-top behaviour if routing'd change
","diff --git a/src/components/filters/tests/filters.test.jsx b/src/components/filters/tests/filters.test.jsx
index f7c669a..311ac4f 100644
--- a/src/components/filters/tests/filters.test.jsx
+++ b/src/components/filters/tests/filters.test.jsx
@@ -3,10 +3,10 @@ import React from 'react';
 import 'jest-styled-components';
 
 import Filters from '../filters';
-import data from '../../../data/data.JSON';
+import data from '../../../data/data.json';
 
 const category = 'company';
-const values = {codeDepth: ""css"", repository: ""bitbucket""};
+const values = { codeDepth: 'css', repository: 'bitbucket' };
 const dataArr = Array.from(data);
 
 const mockFunc = () => true;
",0,,11,15892,1,5,117,23312
